CMDLINE python src/main.py
MEM 2422.234375 1740998714.9239
MEM 2422.234375 1740998715.0292
MEM 2527.343750 1740998715.1317
MEM 2348.875000 1740998715.2368
MEM 2127.921875 1740998715.3420
MEM 2128.078125 1740998715.4471
MEM 2108.781250 1740998715.5522
MEM 2108.984375 1740998715.6575
MEM 2109.984375 1740998715.7627
MEM 1992.250000 1740998715.8640
MEM 1994.406250 1740998715.9692
MEM 1994.500000 1740998716.0743
MEM 1994.609375 1740998716.1794
MEM 1994.812500 1740998716.2845
MEM 1995.000000 1740998716.3939
MEM 2028.046875 1740998716.4991
MEM 2055.984375 1740998716.5999
MEM 2052.375000 1740998716.7050
MEM 2052.375000 1740998716.8087
MEM 2018.593750 1740998716.9138
MEM 2018.765625 1740998717.0190
MEM 2023.031250 1740998717.1242
MEM 2107.062500 1740998717.2302
MEM 2104.859375 1740998717.3354
MEM 2069.468750 1740998717.4378
MEM 2069.625000 1740998717.5429
MEM 2069.953125 1740998717.6447
MEM 2070.421875 1740998717.7498
MEM 2122.640625 1740998717.8550
MEM 2134.046875 1740998717.9601
MEM 2146.562500 1740998718.0652
MEM 2148.640625 1740998718.1704
MEM 2148.843750 1740998718.2755
MEM 2150.265625 1740998718.3806
MEM 2132.062500 1740998718.4858
MEM 2176.234375 1740998718.5911
MEM 2197.093750 1740998718.6927
MEM 2309.796875 1740998718.7931
MEM 2312.562500 1740998718.8982
MEM 2281.578125 1740998719.0034
MEM 2282.312500 1740998719.1084
MEM 2295.406250 1740998719.2129
MEM 2272.437500 1740998719.3184
MEM 2283.062500 1740998719.4236
MEM 2373.453125 1740998719.5287
MEM 2373.593750 1740998719.6338
MEM 2375.890625 1740998719.7364
MEM 2375.921875 1740998719.8415
MEM 2354.671875 1740998719.9429
MEM 2400.171875 1740998720.0481
MEM 2383.953125 1740998720.1533
MEM 2423.921875 1740998720.2585
MEM 2427.359375 1740998720.3636
MEM 2428.125000 1740998720.4687
MEM 2428.296875 1740998720.5738
MEM 2436.250000 1740998720.6792
MEM 2490.968750 1740998720.7844
MEM 2525.765625 1740998720.8896
MEM 2497.937500 1740998720.9947
MEM 2498.078125 1740998721.0999
MEM 2499.578125 1740998721.2051
MEM 2480.718750 1740998721.3102
MEM 2525.609375 1740998721.4153
MEM 2603.812500 1740998721.5207
MEM 2642.281250 1740998721.6214
MEM 2575.140625 1740998721.7265
MEM 2577.656250 1740998721.8316
MEM 2577.875000 1740998721.9368
MEM 2546.375000 1740998722.0419
MEM 2583.203125 1740998722.1436
MEM 2755.250000 1740998722.2489
MEM 2773.281250 1740998722.3502
MEM 2790.515625 1740998722.4553
MEM 2790.578125 1740998722.5604
MEM 2763.265625 1740998722.6655
MEM 2763.312500 1740998722.7706
MEM 2704.296875 1740998722.8785
MEM 2638.171875 1740998722.9837
MEM 2682.390625 1740998723.0843
MEM 2652.984375 1740998723.1894
MEM 2642.890625 1740998723.2945
MEM 2643.046875 1740998723.3958
MEM 2634.109375 1740998723.5009
MEM 2581.343750 1740998723.6060
MEM 2431.281250 1740998723.7112
MEM 2438.218750 1740998723.8163
MEM 2338.250000 1740998723.9216
MEM 2329.218750 1740998724.0269
MEM 2329.781250 1740998724.1321
MEM 2330.015625 1740998724.2371
MEM 2356.890625 1740998724.3407
MEM 2393.718750 1740998724.4460
MEM 2368.750000 1740998724.5511
MEM 2223.640625 1740998724.6562
MEM 2223.765625 1740998724.7613
MEM 2223.890625 1740998724.8664
MEM 2200.140625 1740998724.9715
MEM 2228.406250 1740998725.0767
MEM 2347.734375 1740998725.1822
MEM 2314.406250 1740998725.2837
MEM 2089.171875 1740998725.3889
MEM 2055.750000 1740998725.4940
MEM 2056.046875 1740998725.5991
MEM 2056.609375 1740998725.7042
MEM 2057.125000 1740998725.8096
MEM 2086.625000 1740998725.9148
MEM 2055.375000 1740998726.0200
MEM 2040.734375 1740998726.1252
MEM 2075.562500 1740998726.2295
MEM 2026.750000 1740998726.3346
MEM 2026.984375 1740998726.4397
MEM 2027.734375 1740998726.5448
MEM 2056.093750 1740998726.6501
MEM 2094.359375 1740998726.7555
MEM 1972.968750 1740998726.8608
MEM 1913.578125 1740998726.9659
MEM 1868.500000 1740998727.0701
MEM 1858.171875 1740998727.1752
MEM 1860.906250 1740998727.2803
MEM 1881.968750 1740998727.3855
MEM 1699.125000 1740998727.4878
MEM 1680.921875 1740998727.5880
MEM 1645.921875 1740998727.6931
MEM 1646.296875 1740998727.7982
MEM 1646.484375 1740998727.9033
MEM 1646.687500 1740998728.0084
MEM 1765.609375 1740998728.1136
MEM 1730.828125 1740998728.2189
MEM 1640.625000 1740998728.3212
MEM 1584.468750 1740998728.4263
MEM 1586.609375 1740998728.5313
MEM 1586.828125 1740998728.6365
MEM 1587.015625 1740998728.7415
MEM 1672.437500 1740998728.8469
MEM 1578.546875 1740998728.9482
MEM 1605.671875 1740998729.0534
MEM 1435.578125 1740998729.1588
MEM 1448.046875 1740998729.2639
MEM 1448.437500 1740998729.3692
MEM 1450.093750 1740998729.4743
MEM 1518.390625 1740998729.5796
MEM 1621.718750 1740998729.6821
MEM 1566.156250 1740998729.7856
MEM 1296.734375 1740998729.8908
MEM 1379.828125 1740998729.9937
MEM 1380.234375 1740998730.0988
MEM 1380.640625 1740998730.2039
MEM 1390.406250 1740998730.3090
MEM 1535.390625 1740998730.4143
MEM 1525.796875 1740998730.5203
MEM 1396.625000 1740998730.6244
MEM 1373.875000 1740998730.7295
MEM 1375.218750 1740998730.8297
MEM 1375.625000 1740998730.9312
MEM 1385.203125 1740998731.0364
MEM 1439.453125 1740998731.1432
MEM 1380.781250 1740998731.2463
MEM 1356.625000 1740998731.3518
MEM 1220.531250 1740998731.4521
MEM 1238.390625 1740998731.5572
MEM 1238.562500 1740998731.6623
MEM 1239.187500 1740998731.7674
MEM 1240.062500 1740998731.8725
MEM 1379.296875 1740998731.9777
MEM 1319.500000 1740998732.0836
MEM 1198.062500 1740998732.1839
MEM 1201.812500 1740998732.2890
MEM 1201.921875 1740998732.3941
MEM 1202.312500 1740998732.4992
MEM 1210.796875 1740998732.6042
MEM 1341.156250 1740998732.7097
MEM 1396.656250 1740998732.8139
MEM 1303.937500 1740998732.9151
MEM 1310.640625 1740998733.0203
MEM 1310.812500 1740998733.1254
MEM 1311.015625 1740998733.2305
MEM 1311.578125 1740998733.3356
MEM 1335.375000 1740998733.4377
MEM 1364.781250 1740998733.5429
MEM 1279.656250 1740998733.6442
MEM 1200.078125 1740998733.7493
MEM 1202.140625 1740998733.8544
MEM 1202.406250 1740998733.9595
MEM 1202.828125 1740998734.0646
MEM 1350.140625 1740998734.1711
MEM 1410.687500 1740998734.2767
MEM 1410.453125 1740998734.3819
MEM 1330.203125 1740998734.4869
MEM 1330.531250 1740998734.5921
MEM 1331.171875 1740998734.6974
MEM 1331.546875 1740998734.8025
MEM 1366.671875 1740998734.9078
MEM 1399.640625 1740998735.0131
MEM 1347.734375 1740998735.1184
MEM 1204.125000 1740998735.2216
MEM 1212.156250 1740998735.3268
MEM 1212.328125 1740998735.4319
MEM 1227.437500 1740998735.5370
MEM 1232.468750 1740998735.6422
MEM 1407.406250 1740998735.7477
MEM 1379.015625 1740998735.8530
MEM 1366.359375 1740998735.9583
MEM 1251.265625 1740998736.0635
MEM 1248.968750 1740998736.1686
MEM 1249.328125 1740998736.2737
MEM 1250.140625 1740998736.3789
MEM 1252.937500 1740998736.4840
MEM 1454.312500 1740998736.5893
MEM 1445.843750 1740998736.6908
MEM 1449.203125 1740998736.7926
MEM 1361.000000 1740998736.8977
MEM 1361.343750 1740998737.0028
MEM 1361.546875 1740998737.1079
MEM 1361.718750 1740998737.2130
MEM 1451.625000 1740998737.3181
MEM 1444.140625 1740998737.4235
MEM 1445.156250 1740998737.5272
MEM 1338.796875 1740998737.6325
MEM 1341.593750 1740998737.7377
MEM 1341.718750 1740998737.8428
MEM 1341.984375 1740998737.9479
MEM 1376.625000 1740998738.0516
MEM 1582.250000 1740998738.1569
MEM 1542.296875 1740998738.2592
MEM 1415.125000 1740998738.3644
MEM 1417.562500 1740998738.4695
MEM 1424.531250 1740998738.5746
MEM 1424.843750 1740998738.6797
MEM 1425.421875 1740998738.7848
MEM 1475.656250 1740998738.8858
MEM 1498.890625 1740998738.9911
MEM 1407.765625 1740998739.0919
MEM 1295.890625 1740998739.1972
MEM 1298.734375 1740998739.3023
MEM 1298.953125 1740998739.4038
MEM 1299.359375 1740998739.5056
MEM 1341.468750 1740998739.6109
MEM 1536.562500 1740998739.7162
MEM 1541.890625 1740998739.8206
MEM 1436.390625 1740998739.9258
MEM 1439.484375 1740998740.0312
MEM 1439.687500 1740998740.1363
MEM 1439.953125 1740998740.2414
MEM 1451.203125 1740998740.3466
MEM 1513.781250 1740998740.4536
MEM 1456.468750 1740998740.5545
MEM 1287.156250 1740998740.6598
MEM 1371.640625 1740998740.7649
MEM 1379.718750 1740998740.8700
MEM 1380.421875 1740998740.9751
MEM 1381.000000 1740998741.0802
MEM 1421.296875 1740998741.1855
MEM 1459.296875 1740998741.2872
MEM 1483.921875 1740998741.3891
MEM 1356.000000 1740998741.4942
MEM 1341.781250 1740998741.5993
MEM 1342.312500 1740998741.7045
MEM 1342.671875 1740998741.8096
MEM 1343.218750 1740998741.9147
MEM 1543.328125 1740998742.0200
MEM 1523.000000 1740998742.1252
MEM 1427.843750 1740998742.2291
MEM 1411.734375 1740998742.3343
MEM 1412.656250 1740998742.4394
MEM 1413.015625 1740998742.5445
MEM 1420.000000 1740998742.6496
MEM 1509.906250 1740998742.7557
MEM 1511.593750 1740998742.8609
MEM 1518.390625 1740998742.9614
MEM 1364.250000 1740998743.0666
MEM 1364.250000 1740998743.1709
MEM 1366.718750 1740998743.2711
MEM 1367.750000 1740998743.3763
MEM 1368.156250 1740998743.4814
MEM 1368.656250 1740998743.5865
MEM 1456.375000 1740998743.6920
MEM 1470.312500 1740998743.7975
MEM 1470.687500 1740998743.8981
MEM 1344.968750 1740998744.0032
MEM 1349.921875 1740998744.1083
MEM 1350.187500 1740998744.2134
MEM 1350.546875 1740998744.3185
MEM 1353.390625 1740998744.4236
MEM 1430.328125 1740998744.5343
MEM 1468.625000 1740998744.6402
MEM 1451.078125 1740998744.7406
MEM 1300.171875 1740998744.8446
MEM 1302.703125 1740998744.9497
MEM 1302.937500 1740998745.0549
MEM 1303.125000 1740998745.1600
MEM 1309.328125 1740998745.2651
MEM 1421.765625 1740998745.3708
MEM 1410.546875 1740998745.4760
MEM 1400.406250 1740998745.5812
MEM 1273.343750 1740998745.6863
MEM 1273.343750 1740998745.7916
MEM 1279.671875 1740998745.8967
MEM 1280.000000 1740998746.0018
MEM 1280.421875 1740998746.1069
MEM 1283.140625 1740998746.2120
MEM 1361.453125 1740998746.3172
MEM 1422.765625 1740998746.4200
MEM 1373.859375 1740998746.5252
MEM 1160.218750 1740998746.6304
MEM 1249.625000 1740998746.7355
MEM 1249.625000 1740998746.8407
MEM 1259.453125 1740998746.9458
MEM 1259.875000 1740998747.0509
MEM 1273.984375 1740998747.1560
MEM 1280.718750 1740998747.2611
MEM 1407.031250 1740998747.3663
MEM 1409.359375 1740998747.4716
MEM 1270.343750 1740998747.5738
MEM 1294.109375 1740998747.6790
MEM 1294.109375 1740998747.7842
MEM 1300.734375 1740998747.8845
MEM 1301.171875 1740998747.9896
MEM 1301.484375 1740998748.0947
MEM 1304.312500 1740998748.1998
MEM 1439.828125 1740998748.3052
MEM 1466.296875 1740998748.4104
MEM 1424.375000 1740998748.5156
MEM 1312.406250 1740998748.6208
